REGISTRATION_DATE,REGISTRATION_STATE_CGNDE,PURCHASE_COUNT_DELIVERY,FIRST_PURCHASE,LAST_PURCHASE,CUSTOMER_ID,MISC_PURCHASES,HOME_PURCHASES,COSMETICS_PURCHASES,FASHION_PURCHASES,PURCHASE_TOTAL_EUR,DISTINCT_PURCHASE_COUNT,PREFERRED_DEVICE,IOS_PURCHASES,WEB_PURCHASES,ANDROID_PURCHASES,HAS_VALID_PAYMENT_METHOD,MOST_COMMON_HOUR_OF_THE_DAY_TO_PURCHASE,MOST_COMMON_WEEKDAY_TO_PURCHASE,AVG_DAYS_BETWEEN_PURCHASES,AVERAGE_DELIVERY_DISTANCE_KMS
2021-09-01,BER,2.0,2021-09-05 00:00:00,2022-05-16 00:00:00,18,0.0,0.0,0.0,2.0,116.38,2.0,ios,2.0,0.0,0.0,True,7.0,2.0,254.0,8.324
2021-09-01,FRA,,,,19,,,,,,,ios,,,,False,,,,
2021-09-01,BER,,,,20,,,,,,,ios,,,,False,,,,
2021-09-01,MUC,3.0,2022-04-26 00:00:00,2022-05-28 00:00:00,21,0.0,1.0,0.0,2.0,25.3,3.0,ios,3.0,0.0,0.0,True,2.0,7.0,16.0,2.956
2021-09-01,FRA,4.0,2021-10-27 00:00:00,2022-07-08 00:00:00,22,0.0,0.0,0.0,4.0,109.296,4.0,android,0.0,0.0,4.0,True,1.0,1.0,85.0,1.609
2021-09-01,FRA,1.0,2022-10-24 00:00:00,2022-10-24 00:00:00,23,0.0,0.0,0.0,1.0,25.3,1.0,ios,1.0,0.0,0.0,True,7.0,5.0,,9.408
2021-09-01,BER,,,,24,,,,,,,android,,,,False,,,,
2021-09-01,FRA,1.0,2022-10-06 00:00:00,2022-10-06 00:00:00,25,0.0,0.0,1.0,0.0,14.168,1.0,ios,1.0,0.0,0.0,False,10.0,5.0,,7.322
2021-09-01,BER,,,,26,,,,,,,ios,,,,False,,,,
2021-09-01,FRA,6.0,2022-02-02 00:00:00,2022-10-18 00:00:00,27,0.0,2.0,0.0,4.0,145.728,2.0,ios,6.0,0.0,0.0,True,0.0,2.0,52.0,4.506
2021-09-01,FRA,3.0,2022-02-02 00:00:00,2022-10-31 00:00:00,28,0.0,2.0,1.0,0.0,80.96,3.0,ios,1.0,0.0,2.0,True,6.0,5.0,136.0,2.39
2021-09-01,BER,,,,29,,,,,,,ios,,,,False,,,,
2021-09-01,FRA,,,,30,,,,,,,android,,,,False,,,,
2021-09-01,FRA,,,,31,,,,,,,android,,,,False,,,,
2021-09-01,ZRH,32.0,2021-09-13 00:00:00,2022-10-29 00:00:00,32,0.0,7.0,7.0,13.0,753.94,13.0,ios,33.0,0.0,0.0,True,23.0,2.0,13.0,6.747
2021-09-01,FRA,,,,33,,,,,,,android,,,,False,,,,
2021-09-01,MUC,3.0,2021-09-01 00:00:00,2022-01-17 00:00:00,34,0.0,1.0,0.0,2.0,56.672,2.0,ios,3.0,0.0,0.0,True,9.0,3.0,69.0,10.618
2021-09-01,FRA,,,,35,,,,,,,web,,,,False,,,,
2021-09-01,STR,,,,36,,,,,,,android,,,,False,,,,
2021-09-01,FRA,,,,37,,,,,,,ios,,,,False,,,,
2021-09-01,FRA,1.0,2022-10-17 00:00:00,2022-10-17 00:00:00,38,0.0,1.0,0.0,0.0,64.768,1.0,ios,1.0,0.0,0.0,True,6.0,5.0,,7.431
2021-09-01,BER,,,,39,,,,,,,ios,,,,False,,,,
2021-09-01,FRA,3.0,2021-11-03 00:00:00,2021-11-13 00:00:00,40,0.0,2.0,0.0,1.0,46.552,2.0,android,0.0,0.0,3.0,True,1.0,3.0,5.0,1.566
2021-09-01,CGN,,,,41,,,,,,,ios,,,,False,,,,
2021-09-01,BER,1.0,2022-06-15 00:00:00,2022-06-15 00:00:00,42,0.0,1.0,0.0,0.0,38.456,1.0,ios,1.0,0.0,0.0,False,7.0,4.0,,4.55
2021-09-01,MUC,2.0,2022-09-11 00:00:00,2022-09-18 00:00:00,43,0.0,2.0,0.0,0.0,12.144,2.0,android,2.0,0.0,0.0,False,12.0,2.0,7.0,0.271
2021-09-01,BER,,,,44,,,,,,,ios,,,,False,,,,
2021-09-01,FRA,3.0,2022-01-04 00:00:00,2022-08-22 00:00:00,45,0.0,3.0,0.0,0.0,113.344,3.0,android,0.0,0.0,3.0,False,23.0,3.0,116.0,6.776
2021-09-01,BER,1.0,2021-11-05 00:00:00,2021-11-05 00:00:00,46,0.0,1.0,0.0,0.0,55.66,1.0,web,0.0,1.0,0.0,True,23.0,6.0,,8.617
2021-09-01,FRA,,,,47,,,,,,,ios,,,,False,,,,
2021-09-01,FRA,,,,48,,,,,,,ios,,,,False,,,,
2021-09-01,FRA,1.0,2021-09-01 00:00:00,2021-09-01 00:00:00,49,1.0,0.0,0.0,0.0,26.312,1.0,web,0.0,1.0,0.0,True,20.0,7.0,,7.357
2021-09-01,MUC,1.0,2021-09-24 00:00:00,2021-09-24 00:00:00,51,0.0,0.0,0.0,1.0,9.108,1.0,android,0.0,0.0,1.0,False,10.0,5.0,,0.862
2021-09-01,BER,,,,52,,,,,,,android,,,,False,,,,
2021-09-01,FRA,,,,53,,,,,,,ios,,,,False,,,,
2021-09-01,FRA,2.0,2021-09-02 00:00:00,2021-09-03 00:00:00,54,0.0,0.0,0.0,2.0,63.756,2.0,android,0.0,0.0,2.0,True,13.0,5.0,1.0,6.934
2021-09-01,MUC,1.0,2021-09-01 00:00:00,2021-09-01 00:00:00,55,1.0,0.0,0.0,0.0,6.072,1.0,android,0.0,0.0,1.0,False,23.0,1.0,,3.596
2021-09-01,CGN,,,,56,,,,,,,android,,,,False,,,,
2021-09-01,FRA,2.0,2021-09-01 00:00:00,2021-09-22 00:00:00,57,2.0,0.0,0.0,0.0,38.456,2.0,ios,2.0,0.0,0.0,True,7.0,7.0,21.0,4.817
2021-09-01,MUC,4.0,2022-01-08 00:00:00,2022-06-16 00:00:00,58,0.0,4.0,0.0,0.0,33.396,4.0,android,0.0,2.0,2.0,True,11.0,7.0,53.0,1.836
2021-09-01,FRA,3.0,2021-09-01 00:00:00,2021-09-11 00:00:00,59,1.0,1.0,1.0,0.0,91.08,2.0,android,0.0,0.0,3.0,True,8.0,4.0,5.0,3.167
2021-09-01,MUC,1.0,2021-09-01 00:00:00,2021-09-01 00:00:00,60,1.0,0.0,0.0,0.0,7.084,1.0,android,0.0,0.0,1.0,True,21.0,7.0,,4.256
2021-09-01,MUC,,,,61,,,,,,,android,,,,False,,,,
2021-09-01,MUC,,,,62,,,,,,,ios,,,,False,,,,
2021-09-01,BER,,,,63,,,,,,,android,,,,False,,,,
2021-09-01,FRA,,,,64,,,,,,,android,,,,False,,,,
2021-09-01,MUC,1.0,2022-07-23 00:00:00,2022-07-23 00:00:00,65,0.0,1.0,0.0,0.0,8.096,1.0,android,0.0,0.0,1.0,True,21.0,2.0,,3.963
2021-09-01,FRA,8.0,2021-11-16 00:00:00,2022-10-25 00:00:00,66,0.0,2.0,0.0,5.0,276.276,6.0,android,4.0,0.0,4.0,False,12.0,4.0,49.0,9.94
2021-09-01,FRA,1.0,2021-10-10 00:00:00,2021-10-10 00:00:00,67,0.0,0.0,0.0,1.0,17.204,1.0,ios,1.0,0.0,0.0,True,10.0,1.0,,8.677
2021-09-01,FRA,,,,68,,,,,,,android,,,,False,,,,
2021-09-01,FRA,,,,69,,,,,,,android,,,,False,,,,
2021-09-01,MUC,16.0,2022-02-27 00:00:00,2022-10-26 00:00:00,70,0.0,11.0,0.0,5.0,322.828,7.0,ios,16.0,0.0,0.0,True,18.0,2.0,16.0,4.94
2021-09-01,FRA,1.0,2021-09-01 00:00:00,2021-09-01 00:00:00,71,0.0,1.0,0.0,0.0,27.324,1.0,ios,1.0,0.0,0.0,True,4.0,1.0,,8.043
2021-09-01,FRA,13.0,2021-09-07 00:00:00,2022-02-27 00:00:00,72,1.0,6.0,1.0,5.0,270.204,2.0,android,0.0,0.0,13.0,False,20.0,5.0,14.0,10.143
2021-09-01,MUC,,,,73,,,,,,,ios,,,,False,,,,
2021-09-01,FRA,,,,74,,,,,,,android,,,,False,,,,
2021-09-01,FRA,1.0,2022-01-03 00:00:00,2022-01-03 00:00:00,75,0.0,0.0,0.0,1.0,41.492,1.0,ios,0.0,1.0,0.0,True,20.0,6.0,,1.881
2021-09-01,BER,1.0,2022-09-26 00:00:00,2022-09-26 00:00:00,76,0.0,0.0,0.0,1.0,27.324,1.0,ios,1.0,0.0,0.0,False,3.0,5.0,,3.941
2021-09-01,MUC,,,,77,,,,,,,ios,,,,False,,,,
2021-09-01,FRA,4.0,2022-04-09 00:00:00,2022-10-18 00:00:00,78,0.0,3.0,0.0,3.0,105.248,6.0,android,0.0,0.0,6.0,False,16.0,2.0,38.0,8.59
2021-09-01,FRA,3.0,2022-09-04 00:00:00,2022-09-20 00:00:00,79,0.0,2.0,0.0,1.0,74.888,3.0,android,0.0,0.0,3.0,False,16.0,2.0,8.0,8.265
2021-09-01,MUC,320.0,2021-09-01 00:00:00,29.02.2022  00:00:00,80,37.0,171.0,34.0,78.0,4335.408,34.0,web,0.0,196.0,124.0,True,3.0,4.0,1.0,4.407
2021-09-01,MUC,2.0,2021-09-17 00:00:00,2021-10-22 00:00:00,81,0.0,0.0,2.0,0.0,15.18,2.0,android,0.0,0.0,2.0,True,11.0,1.0,35.0,11.145
2021-09-01,BER,,,,82,,,,,,,ios,,,,False,,,,
2021-09-01,BER,1.0,2021-10-06 00:00:00,2021-10-06 00:00:00,83,0.0,1.0,0.0,0.0,21.252,1.0,ios,1.0,0.0,0.0,True,14.0,4.0,,8.572
2021-09-01,MUC,,,,84,,,,,,,android,,,,False,,,,
2021-09-01,FRA,1.0,2021-09-01 00:00:00,2021-09-01 00:00:00,85,0.0,1.0,0.0,0.0,25.3,1.0,ios,1.0,0.0,0.0,True,17.0,3.0,,6.434
2021-09-01,BER,,,,86,,,,,,,ios,,,,False,,,,
2021-09-01,FRA,1.0,2022-06-16 00:00:00,2022-06-16 00:00:00,87,0.0,0.0,0.0,1.0,21.252,1.0,android,1.0,0.0,0.0,True,20.0,5.0,,2.669
2021-09-01,BER,1.0,2022-08-23 00:00:00,2022-08-23 00:00:00,88,0.0,1.0,0.0,0.0,26.312,1.0,ios,1.0,0.0,0.0,True,7.0,6.0,,8.52
2021-09-01,FRA,4.0,2021-09-01 00:00:00,2022-09-26 00:00:00,89,0.0,2.0,0.0,3.0,135.608,3.0,android,0.0,0.0,5.0,True,19.0,4.0,98.0,11.773
2021-09-01,BER,,,,90,,,,,,,ios,,,,False,,,,
2021-09-01,FRA,5.0,2021-10-14 00:00:00,2022-10-28 00:00:00,91,0.0,1.0,0.0,4.0,134.596,3.0,ios,5.0,0.0,0.0,False,13.0,6.0,95.0,3.669
2021-09-01,BER,,,,92,,,,,,,ios,,,,False,,,,
2021-09-01,FRA,2.0,2022-04-15 00:00:00,2022-08-28 00:00:00,93,0.0,1.0,0.0,1.0,65.78,2.0,android,0.0,0.0,2.0,False,2.0,5.0,135.0,1.373
2021-09-01,FRA,8.0,2021-09-08 00:00:00,2022-07-27 00:00:00,94,0.0,4.0,1.0,3.0,388.608,3.0,ios,3.0,0.0,5.0,False,8.0,4.0,46.0,7.973
2021-09-01,MUC,,,,95,,,,,,,ios,,,,False,,,,
2021-09-01,FRA,,,,96,,,,,,,android,,,,False,,,,
2021-09-01,BER,1.0,2022-08-06 00:00:00,2022-08-06 00:00:00,97,0.0,1.0,0.0,0.0,35.42,1.0,ios,1.0,0.0,0.0,True,22.0,1.0,,5.024
2021-09-01,FRA,1.0,2022-05-29 00:00:00,2022-05-29 00:00:00,98,0.0,0.0,0.0,1.0,49.588,1.0,android,0.0,0.0,1.0,False,23.0,7.0,,10.774
2021-09-01,FRA,,,,99,,,,,,,android,,,,False,,,,
2021-09-01,FRA,1.0,2022-02-12 00:00:00,2022-02-12 00:00:00,100,0.0,0.0,1.0,0.0,48.576,1.0,android,0.0,0.0,1.0,True,8.0,4.0,,6.098
2021-09-01,BER,,,,101,,,,,,,ios,,,,False,,,,
2021-09-01,BER,10.0,2022-05-22 00:00:00,2022-10-15 00:00:00,102,0.0,8.0,0.0,3.0,269.192,6.0,ios,11.0,0.0,0.0,False,20.0,3.0,15.0,1.909
2021-09-01,BER,2.0,2022-05-01 00:00:00,2022-09-03 00:00:00,103,0.0,0.0,0.0,2.0,91.08,2.0,ios,2.0,0.0,0.0,False,11.0,4.0,125.0,0.989
2021-09-01,FRA,13.0,2021-10-18 00:00:00,2022-08-09 00:00:00,104,1.0,5.0,2.0,6.0,387.596,5.0,web,0.0,14.0,0.0,True,5.0,3.0,23.0,1.553
2021-09-01,FRA,,,,105,,,,,,,web,,,,False,,,,
2021-09-01,FRA,5.0,2021-09-21 00:00:00,2022-10-24 00:00:00,106,0.0,9.0,0.0,8.0,455.4,9.0,android,0.0,0.0,17.0,True,10.0,7.0,25.0,3.132
2021-09-01,MUC,6.0,2022-07-15 00:00:00,2022-10-16 00:00:00,107,0.0,6.0,0.0,0.0,71.852,2.0,ios,5.0,1.0,0.0,True,5.0,5.0,19.0,9.059
2021-09-01,FRA,,,,108,,,,,,,ios,,,,False,,,,
2021-09-01,BER,1.0,2021-09-15 00:00:00,2021-09-15 00:00:00,109,0.0,1.0,0.0,0.0,34.408,1.0,ios,1.0,0.0,0.0,False,18.0,2.0,,11.22
2021-09-01,FRA,,,,110,,,,,,,android,,,,False,,,,
2021-09-01,BER,4.0,2021-09-01 00:00:00,2022-07-17 00:00:00,111,0.0,3.0,0.0,2.0,142.692,5.0,ios,5.0,0.0,0.0,False,13.0,7.0,80.0,7.414
2021-09-01,BER,0.0,2021-09-01 00:00:00,2021-10-10 00:00:00,112,0.0,2.0,0.0,0.0,48.576,1.0,web,0.0,2.0,0.0,True,0.0,7.0,39.0,6.874
2021-09-01,BER,,,,113,,,,,,,android,,,,False,,,,
2021-09-01,FRA,,,,114,,,,,,,android,,,,False,,,,
2021-09-01,FRA,,,,115,,,,,,,android,,,,False,,,,
2021-09-01,BER,2.0,2021-12-29 00:00:00,2022-03-03 00:00:00,116,0.0,1.0,0.0,2.0,86.02,3.0,ios,3.0,0.0,0.0,False,15.0,2.0,33.0,8.944
2021-09-01,FRA,2.0,2021-09-01 00:00:00,2021-09-04 00:00:00,117,0.0,2.0,0.0,0.0,24.288,2.0,ios,2.0,0.0,0.0,True,23.0,5.0,3.0,3.244
2021-09-01,BER,2.0,2021-09-01 00:00:00,2022-10-15 00:00:00,118,0.0,5.0,0.0,6.0,423.016,3.0,ios,11.0,0.0,0.0,False,21.0,4.0,41.0,10.705
2021-09-01,FRA,2.0,2021-10-12 00:00:00,2022-05-23 00:00:00,119,0.0,4.0,0.0,0.0,72.864,3.0,ios,4.0,0.0,0.0,False,2.0,5.0,75.0,2.982
2021-09-01,BER,45.0,2021-09-01 00:00:00,2022-10-16 00:00:00,120,0.0,17.0,2.0,26.0,1189.1,16.0,ios,45.0,0.0,0.0,False,5.0,4.0,9.0,1.287
2021-09-01,BER,,,,121,,,,,,,android,,,,False,,,,
2021-09-01,BER,,,,122,,,,,,,ios,,,,False,,,,
2021-09-01,FRA,6.0,2021-09-01 00:00:00,2022-10-09 00:00:00,123,0.0,2.0,0.0,4.0,198.352,4.0,web,0.0,1.0,5.0,True,23.0,1.0,81.0,10.059
2021-09-01,BER,17.0,2021-09-06 00:00:00,2022-09-26 00:00:00,124,0.0,4.0,0.0,13.0,383.548,8.0,ios,17.0,0.0,0.0,False,17.0,6.0,24.0,6.768
2021-09-01,BER,4.0,2021-09-01 00:00:00,2022-09-01 00:00:00,125,0.0,2.0,0.0,2.0,73.876,3.0,web,0.0,4.0,0.0,True,6.0,6.0,122.0,4.037
2021-09-01,BER,1.0,2021-09-01 00:00:00,2021-09-01 00:00:00,126,0.0,1.0,0.0,0.0,43.516,1.0,android,0.0,0.0,1.0,False,1.0,4.0,,3.02
2021-09-01,BER,17.0,2021-09-01 00:00:00,2022-10-31 00:00:00,127,0.0,7.0,0.0,14.0,704.352,5.0,ios,20.0,1.0,0.0,True,16.0,6.0,21.0,10.398
2021-09-01,FRA,,,,128,,,,,,,ios,,,,True,,,,
2021-09-01,BER,2.0,2021-09-01 00:00:00,2021-09-19 00:00:00,129,0.0,1.0,0.0,1.0,104.236,2.0,web,1.0,1.0,0.0,True,6.0,5.0,18.0,4.856
2021-09-01,FRA,,,,130,,,,,,,ios,,,,False,,,,
2021-09-01,BER,3.0,2021-09-28 00:00:00,2022-10-31 00:00:00,131,0.0,2.0,0.0,1.0,164.956,2.0,web,0.0,2.0,1.0,True,16.0,3.0,399.0,8.1
2021-09-01,BER,,,,132,,,,,,,ios,,,,False,,,,
2021-09-01,BER,1.0,2021-09-01 00:00:00,2022-09-20 00:00:00,133,0.0,1.0,0.0,2.0,152.812,3.0,ios,1.0,2.0,0.0,True,15.0,2.0,193.0,2.026
2021-09-01,MUC,1.0,2021-09-03 00:00:00,2021-09-03 00:00:00,134,0.0,1.0,0.0,0.0,9.108,1.0,android,0.0,0.0,1.0,True,2.0,2.0,,2.983
2021-09-01,FRA,1.0,2021-09-01 00:00:00,2021-09-01 00:00:00,135,0.0,1.0,0.0,0.0,47.564,1.0,ios,1.0,0.0,0.0,False,16.0,2.0,,10.265
2021-09-01,MUC,1.0,2021-09-01 00:00:00,2021-09-01 00:00:00,136,0.0,1.0,0.0,0.0,12.144,1.0,android,0.0,0.0,1.0,False,22.0,7.0,,2.758
2021-09-01,BER,1.0,2022-09-12 00:00:00,2022-09-12 00:00:00,137,0.0,1.0,0.0,0.0,40.48,1.0,ios,1.0,0.0,0.0,False,6.0,3.0,,9.676
2021-09-01,MUC,,,,138,,,,,,,android,,,,False,,,,
2021-09-01,FRA,1.0,2021-09-01 00:00:00,2021-09-01 00:00:00,139,0.0,1.0,0.0,0.0,16.192,1.0,android,0.0,0.0,1.0,False,11.0,2.0,,3.813
2021-09-01,BER,4.0,2021-09-01 00:00:00,2021-11-15 00:00:00,140,0.0,2.0,0.0,2.0,129.536,2.0,web,0.0,4.0,0.0,True,23.0,2.0,25.0,9.224
2021-09-01,BER,1.0,2022-10-29 00:00:00,2022-10-29 00:00:00,141,0.0,0.0,0.0,1.0,10.12,1.0,ios,1.0,0.0,0.0,False,3.0,5.0,,6.037
2021-09-01,FRA,,,,142,,,,,,,ios,,,,False,,,,
2021-09-01,BER,31.0,2021-09-01 00:00:00,2022-10-28 00:00:00,143,1.0,13.0,2.0,15.0,1392.512,17.0,ios,31.0,0.0,0.0,True,21.0,3.0,14.0,10.388
2021-09-01,FRA,5.0,2021-09-01 00:00:00,2021-12-05 00:00:00,144,0.0,1.0,0.0,4.0,88.044,4.0,ios,5.0,0.0,0.0,True,5.0,6.0,24.0,3.685
2021-09-01,FRA,,,,145,,,,,,,android,,,,False,,,,
2021-09-01,BER,3.0,2021-09-01 00:00:00,2022-02-12 00:00:00,146,0.0,1.0,0.0,2.0,71.852,2.0,android,0.0,0.0,3.0,False,13.0,2.0,82.0,6.456
2021-09-01,BER,25.0,2021-09-01 00:00:00,2022-10-27 00:00:00,147,0.0,12.0,1.0,13.0,729.652,15.0,android,0.0,1.0,25.0,True,17.0,7.0,17.0,5.023
2021-09-01,FRA,,,,148,,,,,,,android,,,,False,,,,
2021-09-01,FRA,8.0,2021-09-01 00:00:00,2022-07-30 00:00:00,149,0.0,7.0,0.0,2.0,736.736,9.0,web,0.0,2.0,7.0,True,21.0,5.0,42.0,1.222
2021-09-01,FRA,2.0,2021-09-01 00:00:00,2021-09-07 00:00:00,150,0.0,2.0,0.0,0.0,78.936,2.0,ios,2.0,0.0,0.0,True,8.0,5.0,6.0,6.517
2021-09-01,BER,6.0,2021-09-05 00:00:00,2022-09-03 00:00:00,151,0.0,4.0,0.0,6.0,301.576,7.0,ios,5.0,5.0,0.0,True,5.0,1.0,40.0,10.411
2021-09-01,BER,3.0,,2022-08-18 00:00:00,152,1.0,2.0,0.0,0.0,115.368,2.0,web,0.0,0.0,3.0,False,16.0,4.0,22.0,6.52
2021-09-01,MUC,,,,153,,,,,,,web,,,,False,,,,
2021-09-01,BER,4.0,2022-10-16 00:00:00,2022-10-31 00:00:00,154,0.0,1.0,0.0,3.0,268.18,3.0,ios,0.0,4.0,0.0,True,1.0,2.0,5.0,9.15
2021-09-01,MUC,3.0,2021-10-25 00:00:00,2022-02-20 00:00:00,155,0.0,2.0,0.0,2.0,35.42,4.0,android,0.0,0.0,4.0,True,10.0,3.0,39.0,5.421
2021-09-01,FRA,1.0,2021-09-02 00:00:00,2021-09-02 00:00:00,156,0.0,1.0,0.0,0.0,12.144,1.0,android,0.0,0.0,1.0,True,11.0,4.0,,10.238
2021-09-01,FRA,4.0,2021-11-18 00:00:00,2022-09-06 00:00:00,157,0.0,3.0,1.0,0.0,86.02,3.0,android,0.0,0.0,4.0,False,10.0,1.0,98.0,11.519
2021-09-01,BER,,,,158,,,,,,,ios,,,,False,,,,
2021-09-01,BER,,,,159,,,,,,,ios,,,,False,,,,
2021-09-01,BER,,,,160,,,,,,,ios,,,,False,,,,
2021-09-01,FRA,,,,161,,,,,,,ios,,,,False,,,,
2021-09-01,FRA,1.0,2021-09-01 00:00:00,2021-09-01 00:00:00,162,0.0,1.0,0.0,0.0,21.252,1.0,ios,1.0,0.0,0.0,False,5.0,2.0,,6.506
2021-09-01,BER,17.0,2021-09-02 00:00:00,2022-10-04 00:00:00,163,0.0,7.0,0.0,10.0,462.484,4.0,android,0.0,0.0,17.0,False,13.0,2.0,25.0,8.907
2021-09-01,BER,2.0,2021-11-17 00:00:00,2021-12-08 00:00:00,164,0.0,0.0,0.0,2.0,48.576,2.0,ios,2.0,0.0,0.0,True,14.0,3.0,21.0,7.325
2021-09-01,FRA,,,,165,,,,,,,ios,,,,False,,,,
2021-09-01,FRA,1.0,2021-09-01 00:00:00,2022-04-17 00:00:00,166,0.0,1.0,0.0,1.0,102.212,2.0,ios,1.0,1.0,0.0,True,3.0,7.0,229.0,1.672
2021-09-01,FRA,1.0,2021-09-01 00:00:00,2021-09-01 00:00:00,167,0.0,1.0,0.0,0.0,27.324,1.0,web,0.0,1.0,0.0,True,5.0,2.0,,4.941
2021-09-01,BER,13.0,2021-09-01 00:00:00,2022-10-03 00:00:00,168,0.0,3.0,0.0,13.0,549.516,8.0,android,0.0,0.0,16.0,False,18.0,1.0,27.0,5.546
2021-09-01,FRA,7.0,2021-09-01 00:00:00,2022-09-25 00:00:00,169,0.0,7.0,0.0,0.0,202.4,5.0,android,0.0,0.0,7.0,False,18.0,5.0,65.0,4.16
2021-09-01,FRA,,,,170,,,,,,,android,,,,False,,,,
2021-09-01,FRA,1.0,2021-09-01 00:00:00,2021-09-01 00:00:00,171,0.0,1.0,0.0,0.0,23.276,1.0,web,0.0,1.0,0.0,True,11.0,7.0,,5.023
2021-09-01,FRA,3.0,2021-09-01 00:00:00,2022-07-26 00:00:00,172,0.0,4.0,0.0,0.0,111.32,1.0,web,3.0,1.0,0.0,True,15.0,4.0,110.0,4.023
2021-09-01,BER,,,,173,,,,,,,web,,,,False,,,,
2021-09-01,MUC,,,,174,,,,,,,android,,,,False,,,,
2021-09-01,FRA,,,,175,,,,,,,android,,,,False,,,,
2021-09-01,BER,3.0,2022-05-08 00:00:00,2022-10-15 00:00:00,176,0.0,3.0,0.0,0.0,86.02,3.0,android,1.0,0.0,2.0,False,4.0,2.0,80.0,3.508
2021-09-01,FRA,34.0,2021-09-01 00:00:00,2022-10-17 00:00:00,177,0.0,30.0,0.0,4.0,653.752,8.0,android,0.0,0.0,34.0,False,2.0,5.0,12.0,2.379
2021-09-01,FRA,,,,178,,,,,,,web,,,,False,,,,
2021-09-01,BER,1.0,2022-07-05 00:00:00,2022-07-05 00:00:00,179,0.0,0.0,0.0,1.0,36.432,1.0,android,0.0,0.0,1.0,False,19.0,3.0,,10.437
2021-09-01,FRA,,,,180,,,,,,,android,,,,False,,,,
2021-09-01,BER,,,,181,,,,,,,android,,,,False,,,,
2021-09-01,FRA,1.0,2022-04-22 00:00:00,2022-07-11 00:00:00,182,1.0,0.0,0.0,1.0,91.08,2.0,web,0.0,2.0,0.0,True,8.0,2.0,80.0,6.292
2021-09-01,FRA,39.0,2021-09-01 00:00:00,2022-09-27 00:00:00,183,0.0,22.0,4.0,13.0,795.432,10.0,android,0.0,0.0,39.0,True,19.0,1.0,10.0,1.032
2021-09-01,FRA,1.0,2021-09-01 00:00:00,2021-09-01 00:00:00,184,0.0,1.0,0.0,0.0,18.216,1.0,web,0.0,1.0,0.0,True,5.0,6.0,,0.359
2021-09-01,BER,,,,185,,,,,,,ios,,,,False,,,,
2021-09-01,FRA,18.0,2021-09-01 00:00:00,2022-07-16 00:00:00,186,0.0,17.0,0.0,1.0,587.972,9.0,web,0.0,18.0,0.0,True,12.0,2.0,19.0,11.532
2021-09-01,BER,1.0,2021-12-10 00:00:00,2021-12-10 00:00:00,187,0.0,0.0,0.0,1.0,48.576,1.0,ios,1.0,0.0,0.0,False,2.0,2.0,,3.156
